unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.6605224;16.73294;-78.40399;10.738016;
0.6654968;16.71347;-78.42459;10.75717;
0.6705322;16.691284;-78.44532;10.777069;
0.67559814;16.661896;-78.4671;10.798994;
0.68066406;16.626068;-78.48951;10.824039;
0.68563837;16.584137;-78.51218;10.852221;
0.6906738;16.538452;-78.5366;10.885115;
0.6957092;16.48529;-78.56293;10.924015;
0.7008056;16.427094;-78.591194;10.968333;
0.70578;16.362732;-78.62129;11.015992;
0.7108154;16.299774;-78.65357;11.065716;
0.7158508;16.239471;-78.68831;11.115633;
0.72094727;16.180573;-78.72731;11.166521;
0.7259216;16.125793;-78.76952;11.216314;
0.73095703;16.073761;-78.8154;11.268358;
0.73599243;16.022095;-78.866356;11.323039;
0.74108887;15.972015;-78.92272;11.381138;
0.74606323;15.923553;-78.98323;11.44101;
0.75151384;15.8793335;-79.05068;11.505033;
0.75648826;15.838959;-79.12311;11.571044;
0.76161516;15.797058;-79.20238;11.644299;
0.7665895;15.759033;-79.28259;11.719383;
0.7716249;15.727112;-79.363434;11.800613;
0.7766603;15.698395;-79.44373;11.888636;
0.78175676;15.678314;-79.524734;11.982599;
0.7867311;15.6640625;-79.60391;12.079592;
0.7917665;15.657898;-79.68389;12.183941;
0.7968019;15.6579895;-79.76653;12.293827;
0.80189836;15.662415;-79.85199;12.411058;
0.8068727;15.6666565;-79.93888;12.530758;
0.8119081;15.675934;-80.0322;12.655919;
0.8169435;15.685028;-80.12874;12.784184;
0.82203996;15.691925;-80.22952;12.916015;
0.8270143;15.692902;-80.33115;13.045963;
0.8320497;15.691162;-80.43499;13.180637;
0.8370852;15.680176;-80.53908;13.319388;
0.84218156;15.660034;-80.64494;13.463852;
0.8471559;15.628754;-80.74735;13.608001;
0.85222185;15.594177;-80.852325;13.758364;
0.8571962;15.556671;-80.95612;13.908432;
0.86232316;15.515167;-81.06384;14.065486;
0.86729753;15.4704895;-81.16707;14.219922;
0.87233293;15.43045;-81.270706;14.377923;
0.8773378;15.391266;-81.372086;14.536711;
0.88246477;15.352844;-81.47416;14.701097;
0.88743913;15.31488;-81.57065;14.860524;
0.89247453;15.281342;-81.66554;15.021823;
0.8974794;15.248169;-81.75783;15.179934;
0.90260637;15.213104;-81.84787;15.339752;
0.90758073;15.175659;-81.93155;15.490988;
0.9126162;15.141113;-82.01297;15.639786;
0.91765153;15.102631;-82.090744;15.784391;
0.92274797;15.059296;-82.16593;15.926519;
0.92772233;15.006348;-82.23723;16.060713;
