unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
6.4086897E-4;-0.511794;-0.854961;-0.084313;
0.005676269;-0.462066;-0.877522;-0.128261;
0.010772705;-0.435648;-0.882713;-0.176147;
0.015716553;-0.452080;-0.865570;-0.215435;
0.020751951;-0.487520;-0.840919;-0.234904;
0.025817871;-0.560727;-0.797102;-0.224086;
0.030883787;-0.619268;-0.766133;-0.171898;
0.035888672;-0.068405;-0.066559;-0.008957;
0.040924072;-0.055588;-0.029175;0.002792;
0.04595947;-0.040634;0.023163;0.014542;
0.05105591;-0.029953;0.066956;0.017746;
0.055999756;-0.217148;0.962319;0.163670;
0.06106567;-0.137277;0.982710;0.124240;
0.06610107;-0.105623;0.991736;0.072829;
0.07119751;-0.081050;0.994479;0.066654;
0.07614136;-0.051016;0.998348;0.026447;
0.08117676;-0.082246;0.996547;-0.011348;
0.08624267;-0.081570;0.996479;-0.019377;
0.09133911;-0.109193;0.993616;-0.028345;
0.09631347;-0.106471;0.993343;-0.043965;
0.10131836;-0.102407;0.994683;-0.010880;
0.10638428;-0.092312;0.995721;0.004348;
0.11145019;-0.072995;0.996061;0.050332;
0.11645508;-0.076873;0.993784;0.080520;
0.12145995;-0.070078;0.994324;0.080050;
0.12652588;-0.056976;0.993517;0.098380;
0.1315918;-0.046470;0.994255;0.096428;
0.13659666;-0.014431;0.993794;0.110298;
0.14160156;0.015123;0.994337;0.105196;
0.14666748;0.050267;0.993048;0.106441;
0.15176392;0.098730;0.988428;0.115161;
0.15673828;0.013840;0.095795;0.012405;
0.16177368;0.017044;0.085114;0.009201;
0.16680908;0.019180;0.059479;0.005997;
0.171875;0.021317;0.043457;0.008133;
0.17687988;0.021317;0.027435;0.009201;
0.18188477;0.024521;0.014618;0.009201;
0.18695068;0.022385;0.003937;0.010269;
0.1920166;0.021317;-0.003540;0.014542;
0.19702148;0.021317;-0.005676;0.014542;
0.20205687;0.020248;-0.004608;0.012405;
0.20709229;0.020248;-0.004608;0.012405;
0.21218872;0.018112;-0.002472;0.008133;
0.21716309;0.017044;0.000732;0.005997;
0.22219847;0.015976;0.009277;-0.000412;
0.22723389;0.013840;0.021027;-0.003616;
0.2322998;0.013840;0.033844;-0.007889;
0.23730469;0.008499;0.041321;-0.007889;
0.24230956;0.004227;0.042389;-0.010025;
0.24734497;-0.001114;0.047729;-0.008957;
0.25247192;-0.006454;0.046661;-0.007889;
0.2574463;-0.011795;0.046661;-0.006821;
0.26245117;-0.018204;0.046661;-0.007889;
0.26748657;-0.021408;0.054138;-0.006821;
0.27261353;-0.020340;0.053070;-0.006821;
0.27755737;-0.016068;0.055206;-0.008957;
0.2826233;-0.011795;0.053070;-0.010025;
0.2876587;-0.010727;0.049866;-0.014297;
0.29275513;-0.004318;0.045593;-0.016434;
0.29769897;-0.003250;0.043457;-0.016434;
0.3027649;-0.003250;0.044525;-0.014297;
0.3078003;-0.005386;0.047729;-0.017502;
0.3128662;-0.007523;0.050934;-0.015366;
0.3178711;-0.007523;0.052002;-0.012161;
0.3229065;-0.011795;0.053070;-0.013229;
0.32794186;-0.013931;0.056274;-0.012161;
0.33303833;-0.018204;0.050934;-0.014297;
0.3380127;-0.017136;0.042389;-0.013229;
0.3430481;-0.016068;0.037048;-0.013229;
0.34808347;-0.014999;0.029572;-0.010025;
0.35314938;-0.011795;0.019958;-0.010025;
0.35812378;-0.010727;0.010345;-0.004684;
0.3631897;-0.005386;0.002869;0.000656;
0.36822507;-0.004318;-0.002472;-0.001480;
0.373291;-0.002182;-0.009949;-0.000412;
0.37826535;-0.001114;-0.016357;-0.003616;
0.3833313;-0.001114;-0.021698;-0.007889;
0.38836667;-0.000046;-0.027039;-0.014297;
0.3934326;-0.000046;-0.027039;-0.017502;
0.3984375;-0.000046;-0.028107;-0.024979;
0.40347287;-0.000046;-0.029175;-0.026047;
0.40850827;0.001022;-0.025970;-0.029251;
0.4135742;0.004227;-0.025970;-0.030319;
0.41854855;0.004227;-0.028107;-0.028183;
0.42358398;0.007431;-0.029175;-0.028183;
0.42864987;0.007431;-0.030243;-0.029251;
0.4337158;0.006363;-0.032379;-0.029251;
0.43869016;0.006363;-0.034515;-0.029251;
0.44375607;0.005295;-0.034515;-0.026047;
0.44879147;0.005295;-0.030243;-0.023911;
0.4538574;0.007431;-0.028107;-0.021774;
