unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.6604614;20.076782;-85.1781;11.978003;
0.6654968;20.034058;-85.16999;11.98488;
0.6705322;19.988953;-85.159225;11.993308;
0.67562866;19.940308;-85.14747;12.002364;
0.6805848;19.885803;-85.13533;12.011842;
0.6856202;19.835022;-85.12377;12.019797;
0.6906556;19.78543;-85.11187;12.025644;
0.695752;19.739685;-85.10115;12.028103;
0.70072645;19.696259;-85.091705;12.028286;
0.70579237;19.656494;-85.08442;12.027793;
0.7107667;19.623932;-85.0789;12.0251045;
0.7158937;19.596252;-85.07524;12.0215;
0.720868;19.575012;-85.07332;12.0167265;
0.7259034;19.559723;-85.07454;12.012259;
0.7309388;19.552002;-85.078445;12.008455;
0.7360352;19.55429;-85.08474;12.005621;
0.74100965;19.560059;-85.0927;12.006237;
0.74604505;19.577515;-85.10303;12.0096445;
0.75108045;19.602173;-85.11531;12.01728;
0.7561769;19.634064;-85.1295;12.029679;
0.7611512;19.671936;-85.144264;12.045948;
0.7661866;19.718323;-85.15929;12.067538;
0.77122205;19.772919;-85.17445;12.09249;
0.77631843;19.834076;-85.189644;12.121802;
0.78129286;19.894836;-85.20396;12.154717;
0.78632826;19.964142;-85.21825;12.19197;
0.7913636;20.03955;-85.23272;12.23205;
0.7964601;20.115936;-85.24855;12.276384;
0.8014344;20.187775;-85.26364;12.322978;
0.8065003;20.265625;-85.27951;12.373247;
0.81147474;20.34085;-85.29498;12.426764;
0.81660163;20.414185;-85.31293;12.486168;
0.82157606;20.477081;-85.33118;12.547322;
0.82661146;20.53717;-85.35101;12.61363;
0.8316468;20.59433;-85.37277;12.682491;
0.8367433;20.648834;-85.396774;12.754548;
0.8417176;20.694763;-85.42111;12.827125;
0.846753;20.747955;-85.446976;12.901819;
0.85178846;20.8013;-85.47469;12.979788;
0.85688484;20.858795;-85.50289;13.062961;
0.86185926;20.914246;-85.53207;13.147983;
0.8668946;20.985138;-85.56221;13.237566;
0.87193;21.061737;-85.59526;13.331207;
0.8770265;21.1474;-85.62954;13.429662;
0.8820008;21.233551;-85.66391;13.528806;
0.88703626;21.332458;-85.699715;13.633099;
0.89207166;21.438965;-85.73589;13.739967;
0.89716804;21.55066;-85.77489;13.851315;
0.90214247;21.656555;-85.815445;13.962983;
0.9072084;21.771057;-85.85975;14.080974;
0.9121827;21.888;-85.90797;14.199379;
0.91730964;22.013763;-85.96314;14.323352;
0.922284;22.131866;-86.02173;14.445203;
0.92731947;22.264496;-86.08477;14.569255;
0.93235487;22.404968;-86.15159;14.692183;
0.9374513;22.55246;-86.222725;14.816381;
0.9424256;22.698456;-86.29427;14.935785;
0.947461;22.86084;-86.368126;15.0560465;
0.9524964;23.030243;-86.442024;15.176923;
0.95759284;23.214264;-86.5163;15.299713;
