unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
0.66049194	23.505981	-73.414696	0.35058898
0.66552734	23.474182	-73.46337	0.4002071
0.6706238	23.440796	-73.51603	0.45644844
0.67559814	23.398926	-73.570816	0.51675606
0.68066406	23.369263	-73.62909	0.5845232
0.68563837	23.340302	-73.691574	0.6572878
0.6907654	23.315338	-73.7588	0.73879516
0.69573975	23.280884	-73.828384	0.8251179
0.70077515	23.258453	-73.90317	0.9198406
0.70578	23.234894	-73.98209	1.0220059
0.710907	23.210297	-74.06873	1.1332586
0.71588135	23.17569	-74.1562	1.2467
0.7209167	23.146301	-74.2497	1.3667787
0.7259521	23.116547	-74.34801	1.490284
0.7310486	23.084564	-74.45214	1.6190274
0.73602295	23.040527	-74.55765	1.7489417
0.74105835	23.00473	-74.66884	1.8854443
0.74606323	22.965271	-74.78387	2.027415
0.7511902	22.923645	-74.90667	2.17949
0.75616455	22.863983	-75.03182	2.3349564
0.7611999	22.81018	-75.16348	2.5020208
0.7662353	22.751007	-75.30047	2.6796224
0.7713317	22.688232	-75.4437	2.8703306
0.77630615	22.6073	-75.58898	3.0679784
0.7813721	22.531616	-75.74096	3.282601
0.78634644	22.453186	-75.89234	3.506102
0.7914734	22.368073	-76.05053	3.7489126
0.7964477	22.266235	-76.206276	3.994684
0.8014831	22.177368	-76.36426	4.251181
0.8065185	22.087341	-76.52249	4.513501
0.81161493	21.996277	-76.684296	4.784171
0.81658936	21.893005	-76.84389	5.053468
0.82162476	21.801117	-77.00706	5.3326073
0.82666016	21.70758	-77.17175	5.6172843
0.8317566	21.609314	-77.34221	5.9107265
0.8367309	21.490631	-77.512764	6.2022424
0.8417663	21.38208	-77.68949	6.5027394
0.8468017	21.271576	-77.87102	6.8069572
0.85189813	21.159058	-78.05892	7.1186547
0.85687256	21.028992	-78.24705	7.426566
0.86190796	20.915985	-78.44267	7.7406645
0.86694336	20.805054	-78.64114	8.057153
0.8720398	20.700012	-78.844475	8.3780985
0.8770141	20.579254	-79.04523	8.692814
0.88208	20.48703	-79.250435	9.013152
0.88705444	20.403168	-79.45273	9.329181
0.89218134	20.325806	-79.66156	9.656291
0.89715576	20.243896	-79.86404	9.973117
0.90219116	20.189148	-80.06901	10.293398
0.90722656	20.142365	-80.27415	10.612796
0.912323	20.104431	-80.48256	10.9337015
0.9172973	20.053284	-80.68834	11.244457
0.9223327	20.032562	-80.897026	11.55518
0.92736816	20.019165	-81.10547	11.862578
0.93246454	20.014832	-81.31649	12.169646
0.93743896	19.999023	-81.52361	12.465172
0.94247437	20.011444	-81.73248	12.760743
0.9475097	20.030334	-81.942314	13.052572
0.9526062	20.055908	-82.15532	13.344469
0.9575805	20.071838	-82.36158	13.625368
0.9626159	20.11319	-82.568146	13.906696
0.96765137	20.160461	-82.77114	14.185451
0.97274774	20.214508	-82.97268	14.465731
0.97772217	20.25705	-83.16466	14.737481
0.9828186	20.321411	-83.35687	15.016996
0.9877624	20.388489	-83.53657	15.289821
0.9928894	20.457764	-83.71736	15.576049
0.9978637	20.5112	-83.887695	15.855157
1.0028992	20.58731	-84.05712	16.137787
1.007965	20.66809	-84.22487	16.421053
1.013031	20.75827	-84.38922	16.701828
1.0180054	20.84082	-84.54766	16.97356
1.0230408	20.955963	-84.70491	17.244053
1.0280762	21.09082	-84.85837	17.507582
1.0331726	21.243225	-85.010956	17.767193
1.038147	21.400116	-85.15586	18.010614
1.0431824	21.604828	-85.30052	18.246677
1.0482178	21.837433	-85.44379	18.472097
1.0533142	22.102478	-85.58938	18.688719
1.0582886	22.378723	-85.73417	18.886688
1.063324	22.702759	-85.88528	19.075384
1.0683289	23.054962	-86.03999	19.249317
1.0734558	23.434998	-86.202995	19.4167
1.0784302	23.812439	-86.3671	19.567352
1.083496	24.234253	-86.53846	19.71173
1.0884703	24.668335	-86.7102	19.845028
1.0935974	25.13153	-86.88899	19.975668
