unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.54493E-4;0.13319226;-0.16948128;0.14441371;
0.005828858;0.17482936;-0.21083164;0.04665208;
0.010955811;0.10329953;-0.16540527;0.054080367;
0.015930176;0.082974434;-0.10937977;0.033247888;
0.020965576;0.028340116;-0.08317375;0.023403525;
0.026000975;-0.025900379;-0.15208912;0.0066567063;
0.03109741;-0.023915038;-0.10684204;0.04954034;
0.036071774;-0.031170443;-0.09019375;-0.07634419;
0.041107174;-0.041635707;-0.16388416;-0.034466803;
0.046142574;0.011325911;-0.19942188;-0.026136339;
0.051239014;0.025356919;-0.1552782;0.047264695;
0.05621338;0.051668286;-0.14208412;0.13565314;
0.06124878;0.07590604;-0.15030003;0.16321135;
0.0663147;0.059821263;-0.15969181;0.20021075;
0.071380615;0.10194427;-0.20233631;0.2490272;
0.07635498;0.104714155;-0.19144344;0.24317569;
0.08139038;0.15479758;-0.19601822;0.2326755;
0.08642578;0.13809031;-0.07819748;0.22340268;
0.09152222;0.12121627;-0.10435295;0.22261429;
0.09649658;0.15749983;-0.06868076;0.2778023;
0.10156249;0.06755018;-0.017627716;0.18335027;
0.10653686;0.07980831;-0.04508686;0.20561099;
0.11166381;0.014670119;0.054628372;0.22563535;
0.11663818;0.033902735;-0.006219864;0.14571375;
0.121673584;0.066135764;0.038798332;0.16555196;
0.12670898;0.09366499;0.056438446;0.17191625;
0.13180542;0.011911407;0.06695557;0.15755337;
0.13677979;0.06590542;0.13096619;0.12002671;
0.14181519;0.0927387;0.15211964;0.07858211;
0.14685059;0.1032625;0.15781212;0.08196032;
0.15194702;0.15448637;0.16114044;0.17285717;
0.15692139;0.1284874;0.17992687;0.20750618;
0.16195677;0.19170885;0.111946106;0.23371708;
0.16696166;0.16809852;0.08566189;0.2765723;
0.17208862;0.16830938;0.033286095;0.27887583;
0.17706934;0.10550316;1.1444092E-5;0.27640533;
0.18210474;0.16261008;-0.005879402;0.3642949;
0.18714014;0.07558727;-0.056910515;0.26435727;
0.19223657;0.04900083;-0.10072231;0.3368929;
0.19721094;0.07673444;-0.12187767;0.23582214;
0.20227686;0.042298466;-0.10852814;0.26796293;
0.20725122;0.020780623;-0.15935707;0.32497138;
0.21237817;0.015779719;-0.21484089;0.221331;
0.21735254;-0.031910628;-0.15140629;0.20451301;
0.22238794;-0.07590714;-0.13202858;0.17091197;
0.22742334;-0.04848762;-0.18752956;0.1799832;
0.23251978;-0.05667971;-0.20134354;0.17109591;
0.23749414;-0.076573566;-0.16285515;0.2358799;
0.24252954;-0.066702485;-0.18264961;0.24942285;
0.24756494;-0.059165016;-0.18102264;0.1999479;
0.25266138;-0.040895253;-0.13543701;0.20047385;
0.25763574;0.0023242682;-0.12557411;0.2794361;
0.26267114;-0.021061763;-0.115722656;0.1859088;
0.26770654;0.018648878;-0.13678265;0.20660383;
0.27280298;0.0013326705;-0.14711285;0.24387991;
0.27777734;-0.061180457;-0.14792156;0.22053689;
0.2828127;-0.08219175;-0.17961884;0.2019993;
0.28781763;-0.13782643;-0.17205238;0.07662237;
0.29294458;-0.16042651;-0.19063473;0.0845871;
0.29791895;-0.19997366;-0.19255924;0.08916229;
0.30298486;-0.28861064;-0.1968565;0.11524606;
0.30795923;-0.30493402;-0.16907501;0.057165265;
0.31308618;-0.2978808;-0.25066662;-0.06707573;
0.31806055;-0.29224402;-0.20619106;-0.05651629;
0.32309595;-0.23940314;-0.1320982;-0.113411486;
0.32813135;-0.22494642;-0.16626835;-0.060629964;
0.33322775;-0.32252344;-0.09583187;-0.1336124;
0.33820215;-0.24534923;-0.11107445;-0.12189072;
0.34323755;-0.23378688;-0.052636147;-0.09212351;
0.34827295;-0.15452144;-0.04184532;-0.043089926;
0.35336936;-0.09443998;-0.0013952255;-0.084041655;
0.35834372;-0.105728656;0.050852776;-0.015360653;
0.36337915;-0.1208154;-0.02651596;-0.055794775;
0.36841455;-0.06951854;-0.055054665;0.1073308;
0.373511;-0.044614553;-0.10613632;-0.011136651;
0.37848532;0.005277276;-0.04425907;0.10000765;
0.38352075;0.052761674;-0.10131836;0.07095969;
0.38855615;0.062433362;-0.02760315;0.09092265;
0.3936526;0.0071032643;0.13507462;0.1408503;
0.39862692;0.01776594;0.2416153;0.05297059;
0.4037234;-0.029462963;0.31468487;-0.049995005;
0.40869775;-0.09509361;0.48980904;0.04676974;
0.4137942;0.04164663;0.53987026;-0.039563835;
0.41876855;0.08330014;0.5268793;-0.2102611;
0.42380396;0.08092898;0.50679016;-0.19067621;
0.42883936;0.078540355;0.4071617;-0.20367593;
0.4339358;0.14040107;0.31131077;-0.056922317;
0.43891016;0.12276843;0.25606155;0.059182882;
0.44394556;0.16477779;0.18667316;0.080752075;
0.44898096;0.111851394;0.17683792;0.2301439;
0.4540774;0.091130644;0.071974754;0.27691084;
0.45905176;0.088389486;0.13363743;0.37935686;
0.46408716;0.038211375;0.09776211;0.3675608;
0.46912256;0.040414423;0.051246643;0.41764164;
0.474219;0.017674506;0.039265633;0.4023224;
0.47919336;0.022446305;0.029675484;0.35731077;
0.48422876;0.00943771;0.06287956;0.26002955;
0.48923364;0.089226246;0.07108784;0.2827106;
