unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.6252136;24.357483;-81.582466;15.413283;
0.630249;24.493652;-81.83142;15.877643;
0.6352844;24.64325;-82.0828;16.342514;
0.64038086;24.809021;-82.33946;16.812485;
0.64535517;24.96103;-82.59363;17.269215;
0.6503906;25.153381;-82.852455;17.729834;
0.655426;25.358948;-83.11328;18.18824;
0.6605224;25.577606;-83.376396;18.65126;
0.6654968;25.772705;-83.6309;19.102251;
0.6705322;25.998352;-83.88549;19.558681;
0.67556757;26.226746;-84.135796;20.014858;
0.68066406;26.460846;-84.3847;20.475506;
0.68563837;26.669647;-84.62456;20.923273;
0.6907043;26.913544;-84.86672;21.377783;
0.6956787;27.16275;-85.10416;21.821373;
0.70080566;27.431244;-85.35046;22.275036;
0.70578;27.686066;-85.59251;22.709976;
0.7108154;27.992249;-85.840324;23.144588;
0.7158508;28.319305;-86.08849;23.572361;
0.72094727;28.66806;-86.33906;23.996956;
0.7259216;29.002869;-86.58037;24.400301;
0.73095703;29.3768;-86.82175;24.797508;
0.7359619;29.756775;-87.06039;25.180414;
0.74108887;30.147247;-87.30594;25.561506;
0.74606323;30.508484;-87.54835;25.91837;
0.7510986;30.912292;-87.79918;26.26816;
0.756134;31.337952;-88.05674;26.607086;
0.76123047;31.805298;-88.32475;26.937368;
0.76620483;32.2807;-88.5941;27.246323;
0.77124023;32.827454;-88.87234;27.547117;
0.77627563;33.412964;-89.155426;27.834751;
0.7813721;34.0325;-89.44726;28.112766;
0.78634644;34.631104;-89.73849;28.369884;
0.79141235;35.27072;-90.04313;28.618904;
0.79638666;35.899597;-90.349266;28.850592;
0.8015136;36.539734;-90.672676;29.076586;
0.80648804;37.130463;-90.99373;29.283405;
0.81152344;37.749146;-91.32335;29.481424;
0.81655884;38.36743;-91.658714;29.668999;
