unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.8501E-4;-0.37508017;-0.19026756;0.14642382;
0.005859375;-0.42034295;-0.107993126;-0.0507738;
0.010925293;-0.46449926;-0.085271835;0.017428339;
0.015899658;-0.44104216;-0.06851959;-0.039341748;
0.021026611;-0.3475963;-0.088617325;-0.04625094;
0.026000975;-0.3374818;-0.078967094;-0.12575036;
0.031036375;-0.3453668;-0.09191036;-0.048232675;
0.036071774;-0.3189957;-0.052560806;-0.031294763;
0.04116821;-0.3058713;-0.05725479;0.11057776;
0.046142574;-0.21917516;-0.010861397;0.019500554;
0.05117798;-0.1706951;0.0033597946;0.047587395;
0.05618286;-0.05338373;0.012799263;0.017473817;
0.061309814;0.028234288;0.104206085;0.070617855;
0.06628418;0.07679964;0.048125267;0.013099551;
0.07131958;0.049548253;-0.0149822235;-0.020725667;
0.07635498;0.09160113;-0.035199165;0.118805826;
0.081451416;0.07454617;-0.043492317;0.014350414;
0.08642578;0.08040824;-0.030377388;0.073942184;
0.09146118;0.0367774;-0.04818058;0.08111858;
0.096466064;0.024459697;0.06593418;0.20353025;
0.10159301;-0.0742011;0.09192562;0.12614512;
0.10656738;-0.08805271;0.16302395;0.117822886;
0.1116333;-0.17041326;0.24825287;0.15831584;
0.11660766;-0.22389218;0.21451473;0.20710999;
0.12173461;-0.26755953;0.29965115;0.06810242;
0.12670898;-0.26495236;0.3382988;0.1991499;
0.13174438;-0.25401336;0.3269663;0.1626156;
0.13674927;-0.2954508;0.3322878;0.2034064;
0.14187622;-0.32495454;0.36136246;0.27982783;
0.14685059;-0.32139602;0.3606758;0.28022242;
0.15188599;-0.36676773;0.36592197;0.2189551;
0.15692139;-0.40527976;0.3069973;0.22079867;
0.16201782;-0.38832143;0.29094887;0.249986;
0.16699219;-0.40996486;0.24642277;0.22315371;
0.17202757;-0.39875835;0.15683174;0.18793052;
0.17706299;-0.38452485;0.11611843;0.2987852;
0.18215942;-0.39581758;0.023208618;0.16331965;
0.18713379;-0.38028038;-0.045757294;0.27968162;
0.19216917;-0.3427417;-0.14309883;0.21255225;
0.19720459;-0.38073584;-0.23669052;0.19161093;
0.20230103;-0.3005708;-0.29207516;0.19057906;
0.20727539;-0.2436683;-0.4067564;0.17504823;
0.21234131;-0.20512985;-0.37269974;0.1581549;
0.21731567;-0.06566462;-0.39690304;0.111347616;
0.22244261;-0.07613557;-0.36638737;0.14872724;
0.22741699;-0.008926839;-0.36086845;0.08256751;
0.2324524;-0.044790275;-0.35416698;0.15546739;
0.23748778;-0.06595254;-0.3189659;0.06314129;
0.24258421;-0.04746653;-0.273139;0.0637362;
0.24755858;-0.05006136;-0.26542854;0.03719932;
0.252594;-0.109422505;-0.2755661;-0.025987446;
0.2576294;-0.055566356;-0.21798134;-0.060288787;
0.26272583;-0.043183714;-0.18665123;0.022137642;
0.2677002;-0.07085863;-0.14470482;0.0048711896;
0.27273557;-0.060093634;-0.12305641;-0.012031794;
0.277771;-0.063259184;-0.07889557;-0.023838103;
0.2828674;-0.06615057;-0.03127098;-0.037680566;
0.2878418;-0.09020569;0.017438889;-0.047658384;
0.29287717;-0.06763129;0.029214859;-0.037202716;
0.2979126;0.0062423944;0.024318695;0.03879589;
0.303009;-0.018412963;0.12515545;0.11140823;
0.30798337;0.04033003;0.16640186;0.07948464;
0.31304932;-0.024233468;0.20043468;0.16661936;
0.31802368;0.019657262;0.2320137;0.20395774;
0.3231506;0.03505087;0.219553;0.15835905;
0.32812497;-0.07330721;0.26057625;0.16879416;
0.3331604;-0.06401777;0.24805546;0.18288195;
0.3381958;-0.12504445;0.20585918;0.1754759;
0.3432922;-0.16714334;0.15543365;0.19400764;
0.34826657;-0.22858721;0.14195347;0.20149797;
0.353302;-0.26058292;0.09287357;0.2027641;
0.35830688;-0.2655601;-0.04283333;0.21671838;
0.3634338;-0.34819692;-0.1402626;0.2564422;
0.36840817;-0.29094678;-0.18521786;0.26484197;
0.3734436;-0.3090472;-0.29186153;0.2254169;
0.378479;-0.24425083;-0.36859894;0.21785158;
0.3835754;-0.19276443;-0.3263712;0.19107836;
0.38854977;-0.096105345;-0.3115387;0.20943713;
0.3935852;-0.14561571;-0.2670288;0.1945265;
0.3986206;-0.11989798;-0.18101692;0.17143786;
0.40371704;-0.08073006;-0.11298466;0.15093124;
0.40869138;-0.13747412;-0.030822754;0.07477683;
0.41378784;-0.11186246;0.0143613815;-0.011884272;
0.41873166;-0.10390023;0.044016838;-0.056740165;
0.42385864;-0.061343998;0.04153633;-0.08123046;
0.428833;-0.04855278;0.043815613;-0.0665341;
0.4338684;-0.015593838;0.06391811;-0.12558329;
0.4389038;0.0030025989;0.013886452;-0.047921598;
0.44400024;0.019163057;-0.04556465;-0.012005627;
0.4489746;0.019805819;-0.08352375;-0.01661098;
0.45401;0.097743586;-0.06913853;-0.024804115;
0.45904538;0.0710951;-0.088048935;3.0732155E-4;
0.46414185;0.1314194;-0.0974226;-0.041165948;
0.4691162;0.0564028;-0.08302021;0.014908731;
0.4741516;0.055486664;-0.049632072;-0.03842622;
0.47918698;0.10003194;0.035983086;0.021178007;
0.48428345;0.059237305;0.046593666;0.051032186;
0.4892578;0.067556895;0.034607887;0.07372862;
0.4942932;0.036982533;0.04521084;0.0655759;
0.49932858;0.062392488;0.1270876;0.07409805;
0.50442505;0.06413467;0.09594631;0.220469;
0.5093994;0.038436383;0.09930611;0.13026708;
0.51446533;-0.051513463;0.12641907;0.29220378;
0.5194397;0.014080895;0.07030487;0.17595226;
0.52456665;-0.03228477;0.12833881;0.1432516;
0.529541;-0.039818887;0.016360283;0.22353798;
