unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
0.005035401;0.036400244;-0.31837463;-0.09200281;
0.010131836;-0.02576314;-0.30111504;0.017396271;
0.0151062;-0.11963515;-0.32788277;-0.10114658;
0.02017212;-0.15012828;-0.36057854;-0.097961366;
0.025146483;-0.21849622;-0.38017464;-0.14560014;
0.030273438;-0.15360816;-0.4282713;-0.12168443;
0.035247803;-0.18872114;-0.39788818;-0.14269316;
0.040283203;-0.14548963;-0.45192814;-0.23244458;
0.045288086;-0.15726958;-0.5034981;-0.13311839;
0.05041504;-0.1728704;-0.50984;-0.1704498;
0.0553894;-0.2065447;-0.5316248;-0.26937878;
0.0604248;-0.23926286;-0.61634445;-0.22556633;
0.065460205;-0.23070231;-0.6771488;-0.2769493;
0.07055664;-0.20823042;-0.71882725;-0.25231713;
0.075531006;-0.20861052;-0.7556677;-0.27422357;
0.080566406;-0.12367037;-0.68073845;-0.2855733;
0.08560181;-0.027087502;-0.6724453;-0.31620038;
0.090698235;0.04448104;-0.66532326;-0.26516503;
0.09567261;0.18631276;-0.623724;-0.3013575;
0.10070801;0.32593262;-0.5845423;-0.26658207;
0.10574341;0.34483942;-0.5263958;-0.2321865;
0.11083984;0.31946534;-0.35781956;-0.32182366;
0.1158142;0.34732163;-0.17643356;-0.29878247;
0.12088013;0.29785508;-0.1462183;-0.28463203;
0.12585449;0.22206894;0.03606701;-0.2567011;
0.13098145;0.14619957;0.2192812;-0.3327945;
0.13595581;0.0853691;0.35112858;-0.22379184;
0.14099121;0.09552707;0.51963997;-0.22960734;
0.1460266;0.12769789;0.6332569;-0.15866512;
0.15112303;0.1331543;0.7110796;-0.10016996;
0.1560974;0.15077382;0.8577099;-0.05261302;
0.16113281;0.12737617;1.0029421;0.012402475;
0.1661682;0.10326662;0.9412031;0.09027594;
0.17126465;0.011964846;0.9496832;0.20007956;
0.176239;-0.060430832;0.9117956;0.23872477;
0.18127441;-0.07834324;0.8335686;0.22521824;
0.1862793;-0.13492936;0.7815771;0.29661065;
0.19140625;-0.18733905;0.6904402;0.26130098;
0.1963806;-0.11019917;0.5994024;0.29799372;
0.20141602;-0.15177795;0.5239229;0.20086163;
0.20645142;-0.10393865;0.44139576;0.11627871;
0.21154785;-0.045092158;0.26034832;0.14513195;
0.21652222;-0.07507064;0.11995125;0.12336302;
0.22158812;-0.016481888;0.062921524;0.09374702;
0.22656249;-0.06203379;0.013061523;0.26317215;
0.23168945;-0.028504457;-0.08787918;0.14669484;
0.23666382;-0.012208054;-0.10554695;0.1368661;
0.2416992;0.044254646;-0.28361893;0.09523523;
0.24670409;0.035098486;-0.35564137;0.17840677;
0.25183105;0.06267593;-0.41803932;0.28758383;
0.25680542;0.048411492;-0.49104977;0.27799016;
0.26184082;0.10857428;-0.54138756;0.18904686;
0.26687622;0.12790585;-0.5714531;0.10392249;
0.27197266;0.16000904;-0.57890224;0.040417135;
0.276947;0.12056611;-0.6837578;-0.06709701;
0.28198242;0.13589546;-0.7040405;-0.016763866;
0.28701782;0.08361707;-0.7432604;-0.05961877;
0.29211426;0.0826376;-0.70870686;-0.12062901;
0.2970886;0.08892666;-0.6872597;-0.06888151;
0.30212402;0.07860219;-0.6230583;-0.11835939;
0.30715942;0.1265181;-0.48289776;-0.11925095;
0.31225586;0.175487;-0.29779434;-0.15010113;
0.31723022;0.22803003;-0.13911629;-0.10151982;
0.3222961;0.29379466;0.01458168;-0.12943995;
0.32727048;0.29807335;0.20846558;-0.093586504;
0.33239746;0.245854;0.28326702;-0.033453286;
0.33737183;0.24653605;0.35916328;0.07380462;
0.34240723;0.23239094;0.41119385;0.09510714;
0.34744263;0.16301231;0.4417448;0.20200467;
0.35253906;0.16210848;0.48766327;0.23536289;
0.35751343;0.14157827;0.5726633;0.13497144;
0.36254883;0.1158047;0.62658215;0.33229828;
0.3675842;0.084644966;0.5615492;0.23628968;
0.37268066;0.13238335;0.60353565;0.16807652;
0.37765503;0.08489041;0.5147352;0.25342137;
0.38269043;0.098954216;0.42251778;0.31844038;
0.3877258;0.12421985;0.35778427;0.2704469;
0.39282227;0.134424;0.26225948;0.27839142;
0.39779663;0.135398;0.06944466;0.2555585;
0.40283203;0.16405445;-0.09336758;0.20325387;
0.4078674;0.1240067;-0.13474274;0.1893183;
0.41296387;0.13543849;-0.21648407;0.16858709;
0.41793823;0.14393789;-0.22564697;0.21833646;
0.42300415;0.1021623;-0.24551105;0.14107835;
0.42797852;0.10300835;-0.20237827;0.07711607;
0.43310547;0.10975781;-0.16644287;0.045301616;
0.43807983;0.12626095;-0.13292217;0.07513344;
0.4431152;0.15606114;-0.21589279;0.10959417;
0.4481506;0.18388669;-0.20486546;0.10964942;
0.45324707;0.17301399;-0.16654778;0.08259714;
0.45822144;0.12456361;-0.17108536;0.08665848;
0.4632568;0.1429841;-0.19821453;0.019668698;
0.4682922;0.15439028;-0.16709709;0.042117417;
0.47338867;0.11250727;-0.12772751;-0.017311156;
0.47836304;0.031594157;-0.13833714;-0.12406862;
0.4833984;-0.039599888;-0.1525135;-0.121132135;
0.4884338;-0.04643311;-0.1441021;-0.04677546;
0.49353024;-0.10426384;-0.058469772;-0.074733794;
0.49850464;-0.15597577;0.025849342;0.005311191;
0.50358284;-0.095591515;0.011436462;0.1087147;
0.50861824;-0.120532334;0.017289162;0.022623062;
0.5137147;-0.16999441;-0.06950569;0.07886469;
0.51868904;-0.08834143;-0.08959484;0.17284197;
0.52375495;-0.13476582;-0.008647919;0.25476158;
