unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.8501E-4;0.056539416;-0.15284061;0.22874844;
0.005859375;-0.010858536;-0.17374611;0.25777137;
0.010925293;-0.03231156;-0.10667229;0.21813822;
0.015899658;0.09667373;-0.14663506;0.15752292;
0.021026611;0.25685644;-0.15797043;0.09009981;
0.026000975;0.3763268;-0.14312077;0.16045618;
0.031036375;0.50529003;-0.11285114;0.025003076;
0.036071774;0.5297023;-0.13850117;0.09057653;
0.04116821;0.45204234;-0.090447426;0.05617702;
0.046142574;0.50688386;-0.10786533;0.1607852;
0.05117798;0.45399845;-0.07064247;0.18319213;
0.05621338;0.42909372;-0.05134964;0.16030192;
0.061309814;0.43086255;-0.051125526;0.16692019;
0.06628418;0.43538356;-0.07230568;0.17213261;
0.07131958;0.46153605;-0.09226608;0.37081277;
0.07635498;0.50681317;-0.07890892;0.24094605;
0.081451416;0.51993716;-0.14396954;0.27740407;
0.08642578;0.5589398;-0.12929249;0.29365528;
0.09146118;0.51900613;-0.21203613;0.18758953;
0.09649658;0.60474575;-0.23995304;0.15183508;
0.10159301;0.45861363;-0.17037487;0.19326949;
0.10656738;0.4257872;-0.07833862;0.22497916;
0.1116333;0.31122935;-0.03517723;0.24224007;
0.11660766;0.17215657;-0.007563591;0.18940079;
0.12173461;0.12965667;0.035428047;0.17240596;
0.12670898;0.13953221;0.026050568;0.064083695;
0.13174438;0.027003288;0.05114937;0.1567285;
0.13677979;-0.03664434;0.09284115;0.13160574;
0.14187622;0.011310935;0.09644699;0.061514616;
0.14685059;0.008993387;0.097678185;0.070154786;
0.15188599;-0.051833153;0.092988014;0.068160534;
0.15692139;-0.029599547;0.059817314;0.019797921;
0.16201782;-0.092033625;0.08733463;0.19720995;
0.16699219;-0.06435025;0.066101074;0.19984949;
0.17202757;-0.11788893;0.06749439;0.08627081;
0.17706299;-0.120661855;0.01662159;0.1299746;
0.18215942;-0.11560583;0.01101017;0.19760478;
0.18713379;-0.06454015;-0.0064439774;0.12259531;
0.19216917;-0.031726956;-0.03096962;0.08938253;
0.19720459;0.01045692;-0.016256332;0.16931415;
0.20230103;-0.0044168234;0.026920319;0.14240205;
0.20727539;0.05231452;0.035513878;0.1145587;
0.21234131;0.1412394;0.04166794;0.15473378;
0.21731567;0.096152425;0.04538536;0.10459912;
