unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.2397496E-4;0.20374629;-0.18466187;0.36489522;
0.0059204097;0.24852276;-0.08905983;0.23961556;
0.010894775;0.15639132;-0.028166771;0.22837466;
0.015930176;0.085736915;0.025432587;0.14888954;
0.020965576;0.066336215;0.0385046;0.14836079;
0.026062012;0.07084421;-0.03284073;0.08161622;
0.031036375;0.12205257;-0.012598038;0.19102031;
0.036071774;-0.010633595;-0.055376053;0.036539316;
0.041107174;-0.04778999;-0.013731003;0.008346379;
0.04620361;-0.12775154;-0.13850975;0.074137986;
0.05117798;-0.19952652;-0.107424736;0.04122573;
0.05621338;-0.19069192;-0.1381836;0.028660893;
0.06124878;-0.17040643;-0.14513016;0.041154623;
0.066345215;-0.19442822;-0.18889618;0.05007398;
0.07131958;-0.14614026;-0.17198181;0.029203415;
0.07638549;-0.17799851;-0.10993004;0.06295127;
0.08135986;-0.19945833;-0.09430504;0.08583063;
0.08648682;-0.16183539;-0.10126877;-0.050619125;
0.09146118;-0.16588812;-0.004842758;0.048384488;
0.09649658;-0.15686737;0.011811256;0.024870753;
0.10153198;-0.09084283;0.010609627;0.04423064;
0.10662841;-0.10694349;0.023658752;0.08387679;
0.11160278;-0.019280478;0.046175003;0.06892294;
0.11663818;-0.032311246;0.066262245;0.11349511;
0.121673584;-8.9654326E-4;0.039961815;0.14738202;
0.12677002;0.072466254;0.06834221;0.202748;
0.13174438;0.01904346;0.03368759;0.22243303;
0.13677979;0.013578549;-0.0033044815;0.2422294;
0.14181519;0.04628864;0.023902893;0.33114636;
0.1469116;0.019414023;-0.047576904;0.15042138;
0.15188599;0.051828235;-0.06428814;0.14477742;
0.15692139;0.0021271706;-0.094049454;0.13091958;
0.16195677;0.058186203;-0.1677227;0.22639412;
0.16705321;0.039236277;-0.06303787;0.16958195;
0.17202757;0.025159493;-0.11892605;0.13177371;
0.1770935;0.042087972;-0.08916092;0.11768526;
0.18206787;0.046113536;-0.12477398;0.111668825;
0.18719481;0.012405366;-0.08782482;0.13626796;
0.19216917;0.005208403;-0.042593956;0.08089453;
0.19720459;-0.02554001;-0.037815094;0.1417976;
0.20223998;0.010508716;-0.046094894;0.12987614;
0.20733643;0.009881631;-0.022270203;0.13209653;
0.21231078;-0.0048940033;0.06331062;0.09736955;
0.21734619;-0.02327323;0.10716534;0.06029558;
0.22238159;-0.048918203;0.06896114;0.194413;
0.22747803;-0.07946117;0.10329914;0.07527363;
0.2324524;-0.005628884;0.13163567;0.2011807;
0.23748778;0.0155418515;0.16823864;0.064364195;
0.2425232;0.030502185;0.16318512;0.1916889;
0.24761963;-0.016543001;0.14981747;0.22620577;
0.252594;0.07056543;0.1340971;0.19651866;
0.2576294;0.046860993;0.06968117;0.17884636;
0.2626648;-0.005406946;0.09091759;0.18385518;
0.26776123;-0.036322325;0.027757645;0.1722225;
0.27273557;-0.05057837;-0.028162956;0.16175336;
0.27780148;-0.12302241;-0.092300415;0.18092948;
0.28277585;-0.12876238;-0.11710739;0.17737609;
0.28790283;-0.11194511;-0.16562653;0.08222622;
0.29287717;-0.21156818;-0.20335484;0.13558751;
0.2979126;-0.28973293;-0.202981;0.074627936;
0.302948;-0.29662424;-0.2216034;0.11344367;
0.30804443;-0.30727136;-0.21760464;0.11049557;
0.31301877;-0.2562607;-0.2611313;0.054013193;
0.3180542;-0.25061333;-0.15248203;0.03553939;
0.32305905;-0.2533419;-0.21510696;-0.03406167;
0.32818604;-0.19191493;-0.1980114;0.06987494;
0.3331604;-0.17785515;-0.13817596;0.089280486;
0.3381958;-0.20385604;-0.08201027;0.06824404;
0.3432312;-0.052259803;0.0073156357;0.020008743;
0.34832764;-0.12968549;0.044184685;0.055203974;
0.353302;-0.11851832;0.13799;0.14408171;
0.3583374;-0.12708527;0.18643475;0.0075023174;
0.3633728;-0.16851208;0.24069405;0.06285101;
0.36846924;-0.13473333;0.26155376;-0.011047244;
0.3734436;-0.13536952;0.26095867;0.024808645;
0.37850952;-0.16803235;0.28885078;-0.028190076;
0.38348386;-0.22103468;0.2299509;0.018811524;
0.38861084;-0.31225222;0.17947197;-0.0126850605;
0.3935852;-0.35258734;0.09820652;-0.066865504;
0.3986206;-0.4135682;0.03729534;0.04290247;
0.40365598;-0.35742477;-0.093592644;0.04657775;
0.40875244;-0.37209913;-0.22898579;0.15461445;
0.4137268;-0.3456006;-0.25599194;0.17663723;
0.4187622;-0.26591253;-0.2722416;0.22222239;
0.4237671;-0.17100956;-0.34311295;0.20468807;
0.42889404;-0.1878781;-0.29505253;0.19437271;
0.4338684;-0.10697727;-0.26489735;0.23989308;
0.4389038;-0.09597018;-0.067261696;0.17246205;
0.4439087;-0.04046786;0.03615284;0.10053533;
0.44903564;0.015637591;0.18451595;0.12398219;
0.45401;-0.03465523;0.33974457;0.045265257;
0.45904538;-0.039262533;0.5101404;0.03929156;
0.46408078;-0.024511874;0.6160784;-0.00579232;
0.46917725;-0.021472827;0.68618584;-0.010352492;
0.4741516;-0.012612596;0.6801367;0.010017395;
0.47921753;0.0695658;0.62658787;-0.08859992;
0.4841919;0.1058678;0.49712467;-0.0804497;
0.48931885;0.23194462;0.34772873;0.038918614;
0.4942932;0.3098352;0.15466595;0.12557304;
0.49932858;0.35520685;0.018989563;0.2141599;
0.504364;0.40281117;-0.16752815;0.14907008;
0.50946045;0.4218811;-0.30024815;0.23478323;
0.5144348;0.4315314;-0.40065575;0.2940908;
0.5194702;0.45315915;-0.49494457;0.34841812;
0.52450556;0.42856845;-0.53442;0.39551157;
0.52960205;0.39348617;-0.51087093;0.3107695;
0.5345764;0.36225218;-0.43866158;0.2072972;
0.5396118;0.4239958;-0.41172886;0.1301443;
0.5446472;0.31721407;-0.29572773;0.07684547;
0.54974365;0.33107656;-0.16565609;0.06746358;
0.554718;0.20493172;-0.11540508;-0.01448375;
0.5597534;0.13605772;-0.05334568;-0.10115081;
0.56478876;0.06946792;0.03714943;-0.0809046;
0.56988525;0.01682043;0.06334877;-0.15704513;
0.5748596;-0.042072088;0.058609962;-0.032174528;
0.579956;-0.046672538;0.12279606;-0.1320138;
0.5848999;-0.08752972;0.04903412;-0.11502421;
0.59002686;-0.08606827;0.103710175;-0.07884437;
0.5950012;-0.080158964;-0.024713516;-0.0958724;
0.60003656;-0.104265586;0.008648872;-0.091186166;
0.60507196;-0.054880753;0.011042595;0.014743865;
0.61016846;-0.060359493;-0.06264496;-0.033627987;
0.6151428;-0.0919279;-0.13030052;-0.0067356825;
0.6201782;-0.06285156;-0.19192791;-0.030711591;
0.6252136;-0.037367582;-0.2534752;0.039454877;
