unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.64031976;19.20996;-84.543144;1.0896431;
0.64535517;19.236511;-84.553604;1.0975778;
0.6504516;19.268036;-84.56566;1.1047261;
0.655426;19.29364;-84.57774;1.1110681;
0.6604614;19.330688;-84.59183;1.1170424;
0.6654968;19.369019;-84.60705;1.1226296;
0.67059326;19.409302;-84.62345;1.1271726;
0.67556757;19.435577;-84.6413;1.131064;
0.68063354;19.467896;-84.660416;1.1334217;
0.6856079;19.492035;-84.68001;1.1340785;
0.6907348;19.513367;-84.69929;1.1317223;
0.6957092;19.519928;-84.717575;1.1269923;
0.7007446;19.527344;-84.73534;1.1202565;
0.7057495;19.523132;-84.75144;1.1124694;
0.71087646;19.51239;-84.765305;1.1025912;
0.7158508;19.483368;-84.77696;1.0934277;
0.7208862;19.453918;-84.78652;1.0855161;
0.7258911;19.418793;-84.793526;1.0788511;
0.731018;19.376709;-84.796715;1.0743356;
0.73599243;19.32196;-84.798195;1.071001;
0.74102783;19.271667;-84.7985;1.069499;
0.74606323;19.219147;-84.797585;1.069306;
0.75115967;19.167664;-84.795906;1.069289;
0.756134;19.109497;-84.794235;1.0707697;
0.7611694;19.063995;-84.79317;1.072685;
0.76620483;19.022644;-84.792816;1.0752766;
0.7713012;18.988586;-84.79302;1.0783627;
0.77627563;18.954346;-84.794975;1.0815401;
0.78134155;18.936554;-84.7982;1.0855016;
0.78631586;18.929138;-84.801796;1.0905832;
0.7914429;18.930267;-84.80591;1.0968434;
0.7964172;18.93399;-84.80926;1.1026416;
0.8014526;18.953644;-84.81332;1.1089821;
0.80648804;18.97934;-84.81735;1.1161824;
0.8115844;19.011658;-84.821106;1.124621;
0.81655884;19.037811;-84.82535;1.1346104;
0.82159424;19.075195;-84.829575;1.14706;
0.82659906;19.113373;-84.833466;1.1617377;
0.8317261;19.152435;-84.83695;1.1792855;
0.8367004;19.181213;-84.83821;1.1993108;
0.8417358;19.219147;-84.83633;1.2229947;
0.8467407;19.256775;-84.830864;1.2486796;
0.8518676;19.288727;-84.821335;1.2782462;
0.85684204;19.30606;-84.80942;1.3085561;
0.86187744;19.32837;-84.79515;1.3413677;
0.8669128;19.346558;-84.78016;1.3761687;
0.8720093;19.362122;-84.763725;1.4124819;
0.8769836;19.36847;-84.74803;1.4471319;
0.8820495;19.384125;-84.7353;1.4807757;
0.8870239;19.403809;-84.72779;1.5096765;
0.8921508;19.428986;-84.72561;1.534541;
0.89712524;19.452057;-84.73064;1.5518961;
0.9021606;19.49649;-84.743965;1.5617582;
0.907196;19.554474;-84.764694;1.5633255;
0.9122925;19.62503;-84.7935;1.5567644;
0.9172668;19.69757;-84.8255;1.5420041;
0.92230225;19.788818;-84.860306;1.5205325;
0.92733765;19.883423;-84.89439;1.4943535;
0.9324341;19.978455;-84.92767;1.4641823;
0.93740845;20.052704;-84.95811;1.4342753;
0.9424438;20.123718;-84.98862;1.4072655;
0.9474792;20.181213;-85.01939;1.3867185;
0.9525756;20.218964;-85.05407;1.3763591;
0.95755005;20.22992;-85.093834;1.3766212;
0.96258545;20.239197;-85.13844;1.3890823;
0.96762085;20.239197;-85.18759;1.4148817;
0.9727173;20.236084;-85.237816;1.4556955;
0.9776916;20.22638;-85.28539;1.5085166;
0.98275757;20.234589;-85.326836;1.5759848;
0.9877319;20.255829;-85.35819;1.6555438;
0.9928588;20.29309;-85.37851;1.751587;
0.99783325;20.340149;-85.38543;1.8572351;
1.0028687;20.41977;-85.38004;1.9775462;
1.007904;20.521454;-85.36347;2.1108565;
1.0130005;20.646667;-85.337395;2.2582004;
1.0179749;20.779602;-85.30536;2.4127414;
1.0230103;20.950653;-85.26672;2.5779932;
1.0280457;21.14154;-85.22559;2.7520483;
1.0331421;21.356873;-85.18296;2.9355462;
1.0381165;21.578705;-85.13967;3.1208262;
1.0431519;21.831482;-85.09461;3.3160083;
1.0481873;22.097748;-85.050354;3.5179672;
1.0532837;22.376556;-85.006134;3.7285676;
1.058258;22.638184;-84.96463;3.9390292;
1.0632935;22.911896;-84.92545;4.1569996;
1.0682983;23.177124;-84.888885;4.3786354;
