unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.8500895E-4;-0.17683123;-0.12387371;-0.42547703;
0.005859375;0.04115967;-0.24781513;-0.23193866;
0.010894774;0.21667314;-0.3952961;-0.12437916;
0.015930174;0.23793736;-0.36075878;-0.0024155378;
0.021026611;0.21053073;-0.2359991;-0.04907614;
0.026000975;0.111632325;0.073856354;0.07369542;
0.031036375;0.13356975;0.14550209;0.23604774;
0.036071774;0.023024492;0.12665081;0.28958958;
0.04116821;-0.8579007;-0.056241035;0.57695687;
0.046142574;-0.29027447;0.054496765;0.3082044;
0.051177975;-0.09935643;0.09124184;0.21719116;
0.056213375;0.10428664;0.04229355;0.05825883;
0.061309814;-0.006397484;-0.03632164;0.08071256;
0.06628418;-0.089313895;-0.09580898;0.008277535;
0.07131958;-0.1983278;-0.13381481;-0.06515831;
0.07635497;-0.29461348;-0.14441681;-0.07322949;
0.081451416;-0.3014775;-0.14310932;-0.07662815;
0.08642578;-0.26101038;-0.13110733;-0.028959751;
0.09149169;-0.20554696;-0.19399548;0.0781942;
0.096466064;-0.076749556;-0.20333385;0.08559805;
0.10159301;-0.046981826;-0.1984272;0.1681667;
0.10656738;0.026796643;-0.23870945;0.17248827;
0.11160278;0.020964008;-0.20766735;0.095191;
0.11663818;0.003391808;-0.15173912;0.14650995;
0.12173461;0.03704026;-0.026997566;0.16577798;
0.12670898;0.09345423;0.07378292;0.073229015;
0.13174438;0.16308129;0.105490685;0.11735332;
0.13677979;0.19376299;0.18113327;-0.018253386;
0.14187622;0.21409592;0.16756344;0.04093802;
0.14685059;0.24072677;0.16593552;0.023593307;
0.15188599;0.19870317;0.25464535;0.041572034;
0.15692139;0.21164177;0.16739273;8.726716E-4;
0.16201782;0.16881354;0.12071419;0.11320746;
0.16699219;0.16879383;0.10384655;0.12048799;
0.17202757;0.17112736;0.03713703;0.06797707;
0.17706299;0.24717177;-0.06745243;0.112639785;
0.18215942;0.2471091;-0.10172844;0.14021116;
0.18713379;0.2174497;-0.16918468;0.1816451;
0.1921997;0.24624693;-0.23412514;0.17994654;
0.19717407;0.18485895;-0.2704239;0.23153532;
0.20230103;0.1285511;-0.30427074;0.20802486;
0.20727539;0.11518978;-0.23945236;0.2559768;
0.21231078;0.12210261;-0.23773956;0.20666271;
0.21734619;0.01971502;-0.21109962;0.22658634;
0.22244261;0.037539527;-0.18095303;0.16226268;
0.22741699;0.07551261;-0.12710667;0.17424625;
0.23245238;-0.014867038;-0.11138058;0.10075581;
0.23748778;-0.02905093;-0.08856392;0.08336645;
0.24258421;-0.024206547;0.013810158;0.1564641;
0.24755858;-0.056302737;-0.024205208;0.09172368;
0.252594;-0.0029173899;-0.04908943;0.13642853;
0.25759888;-0.06750327;9.202957E-4;0.15378481;
0.26272583;-0.0895059;-0.06322098;0.10575497;
0.2677002;-0.034519713;-0.10349655;0.15410948;
0.27273557;-0.04521572;-0.14609241;0.21318138;
0.27778327;-0.03000447;-0.2171421;0.12608546;
0.28291023;-0.08519676;-0.26431465;0.18652612;
0.2878846;-0.06800285;-0.19615269;0.17319602;
