unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.59507453;0.39672852;-84.72532;-0.053596158;
0.6000489;0.38607788;-84.7316;-0.049651172;
0.60517585;0.37496948;-84.738;-0.046969324;
0.6101502;0.36264038;-84.74371;-0.04572704;
0.6151856;0.35110474;-84.74915;-0.0457157;
0.6201905;0.3397522;-84.7542;-0.046054047;
0.6253174;0.3294983;-84.75966;-0.046268456;
0.6302918;0.3189392;-84.765274;-0.04576238;
0.6353272;0.30569458;-84.76967;-0.04505388;
0.6403626;0.29241943;-84.77289;-0.044233084;
0.64545906;0.2786255;-84.77557;-0.04282845;
0.65043336;0.26416016;-84.77692;-0.040810198;
0.6554688;0.24920654;-84.77797;-0.038605493;
0.6605042;0.23327637;-84.77879;-0.036062755;
0.66560066;0.21652222;-84.78007;-0.033748988;
0.670575;0.19876099;-84.78079;-0.03089759;
0.6756104;0.18209839;-84.78013;-0.028159538;
0.6806458;0.16711426;-84.778595;-0.025473852;
0.68574226;0.15325928;-84.77684;-0.022479393;
0.6907166;0.14160156;-84.77466;-0.01920315;
0.6957825;0.13076782;-84.77219;-0.015647484;
0.7007569;0.12219238;-84.767624;-0.012276422;
0.70588386;0.11416626;-84.76187;-0.0081230495;
0.7108582;0.10986328;-84.75596;-0.0039553833;
0.7158936;0.10281372;-84.75024;8.970926E-4;
0.720929;0.09667969;-84.74446;0.0049824864;
0.72602546;0.091278076;-84.7392;0.008476702;
0.7309998;0.08627319;-84.73423;0.011780872;
0.7360352;0.07901001;-84.73009;0.0155289555;
0.7410706;0.06954956;-84.726395;0.019644119;
0.74616706;0.060668945;-84.723625;0.023535555;
0.7511414;0.050842285;-84.720695;0.02767227;
0.7561768;0.040924072;-84.71779;0.03164437;
0.7612122;0.031707764;-84.71475;0.035153087;
0.76630867;0.021636963;-84.71228;0.038159505;
0.77128303;0.015625;-84.710335;0.03968135;
0.77631843;0.006286621;-84.71033;0.041588686;
0.78135383;359.99677;-84.71226;0.04379657;
0.78645027;359.98816;-84.71631;0.0467224;
0.79142463;359.98062;-84.7219;0.050639823;
0.79649055;359.9733;-84.73016;0.055690184;
0.8014649;359.9641;-84.73924;0.06276329;
0.80659187;359.95313;-84.75052;0.072673716;
0.81156623;359.94235;-84.76152;0.08477551;
0.81660163;359.9295;-84.77208;0.09881339;
0.82163703;359.9148;-84.781906;0.11483717;
0.82673347;359.8984;-84.79049;0.13250016;
0.83170784;359.8806;-84.797966;0.15038732;
0.83674324;359.86264;-84.80378;0.16799235;
0.8417786;359.8442;-84.80815;0.18578725;
0.8468751;359.82523;-84.81087;0.2039019;
0.85184944;359.80988;-84.812325;0.22066139;
0.85688484;359.79266;-84.81247;0.23759988;
0.86192024;359.77527;-84.81179;0.25324112;
0.8670167;359.76025;-84.811035;0.26648837;
0.87199104;359.7492;-84.80952;0.27656287;
0.8770264;359.73862;-84.80777;0.2850371;
0.8820313;359.72873;-84.80495;0.29172084;
0.8871583;359.72223;-84.802216;0.2965901;
0.89213264;359.71866;-84.79848;0.30063275;
0.89719856;359.71597;-84.79328;0.30508578;
0.9021729;359.7162;-84.7884;0.31005448;
0.9072999;359.7245;-84.78125;0.3152397;
0.91227424;359.74326;-84.7686;0.32012147;
0.9173096;359.77692;-84.74794;0.32371852;
0.92234504;359.8277;-84.71837;0.32492206;
0.9274414;359.89496;-84.670944;0.32699338;
0.93244636;359.97345;-84.60341;0.33342823;
0.9374207;0.0569458;-84.514084;0.34566647;
0.94248664;0.1465149;-84.40449;0.36324373;
0.9475831;0.2394104;-84.280334;0.38798526;
0.9525574;0.33972168;-84.1499;0.41925165;
0.9575928;0.44683838;-84.013954;0.46221066;
0.96262825;0.5612793;-83.87978;0.5173265;
0.9677246;0.681427;-83.74931;0.5859163;
0.97269905;0.8149109;-83.63444;0.6603376;
0.97773445;0.97003174;-83.53615;0.7406923;
0.98276985;1.1488342;-83.46034;0.8207257;
0.9878663;1.3565979;-83.40818;0.89629114;
0.9928406;1.5862732;-83.38316;0.9602677;
0.9979371;1.8529358;-83.38701;1.0134431;
1.0028809;2.1472778;-83.41823;1.0494468;
1.0080079;2.4865723;-83.47818;1.0712084;
1.0129822;2.8528137;-83.56079;1.0754493;
1.0180176;3.2589417;-83.66528;1.0649639;
1.023053;3.696869;-83.789055;1.0392648;
1.0281495;4.1661377;-83.92967;0.9993671;
1.0331239;4.644562;-84.08011;0.9469443;
1.0381593;5.14563;-84.239746;0.88412064;
1.0431947;5.650757;-84.40291;0.81412446;
1.0482911;6.1515503;-84.56772;0.7405596;
1.0532655;6.6229553;-84.726166;0.6704018;
1.0583009;7.083557;-84.88203;0.6033013;
1.0633057;7.514435;-85.02982;0.54071844;
1.0684327;7.930298;-85.17247;0.47834077;
1.073407;8.294769;-85.301956;0.41807917;
1.0784425;8.632019;-85.42227;0.35187864;
1.0834779;8.92627;-85.52914;0.27934432;
1.0885743;9.177307;-85.622444;0.1971568;
1.0935487;9.3628235;-85.69966;0.109620765;
1.0986145;9.500305;-85.761955;0.014162824;
1.1035889;9.566925;-85.810455;-0.08040374;
1.1087159;9.571564;-85.847626;-0.17864473;
1.1136903;9.5047;-85.87542;-0.27225152;
1.1187257;9.379669;-85.89732;-0.36832136;
1.1237609;9.195526;-85.91378;-0.46362934;
1.1288575;8.961578;-85.92354;-0.5589348;
1.1338319;8.690979;-85.92527;-0.64955467;
1.1388673;8.38208;-85.919106;-0.7368061;
1.1439027;8.039368;-85.90555;-0.8137146;
1.1489991;7.6622925;-85.88362;-0.87700045;
1.1539735;7.2709656;-85.8537;-0.9218462;
1.1590089;6.8546753;-85.81445;-0.94695467;
1.1640443;6.4266663;-85.76822;-0.949951;
1.1691407;5.9888306;-85.714935;-0.92932576;
1.1741151;5.566284;-85.65725;-0.8854559;
1.1791505;5.14447;-85.590614;-0.81753606;
1.1841859;4.738678;-85.51502;-0.727469;
1.1892823;4.349121;-85.423515;-0.6145576;
1.1942567;4.0007935;-85.316475;-0.48589993;
1.1993226;3.678711;-85.184135;-0.33790562;
1.204297;3.3959656;-85.02397;-0.17607178;
1.2094238;3.1472778;-84.818695;0.0050705615;
1.2143983;2.963745;-84.57134;0.19050917;
1.2194337;2.8323975;-84.26474;0.3868228;
1.2244691;2.7565613;-83.89491;0.5860573;
1.2295655;2.7300415;-83.4601;0.7821247;
1.2345399;2.7401123;-82.999115;0.9599212;
1.2395753;2.7677917;-82.53172;1.1263523;
1.2446107;2.802765;-82.09376;1.2883706;
1.2497071;2.844635;-81.69859;1.4625981;
1.2546815;2.8959656;-81.36387;1.6569198;
1.2597169;2.9582214;-81.07186;1.8906568;
1.2647523;3.0317993;-80.81989;2.166445;
1.2698487;3.1177368;-80.59877;2.4879005;
1.274823;3.2105103;-80.40829;2.8385231;
1.2798584;3.3117676;-80.24012;3.2285728;
1.2848938;3.4085693;-80.09354;3.6523113;
1.2899902;3.5002441;-79.963425;4.115101;
1.2949647;3.5734253;-79.847664;4.6023927;
1.3000306;3.6426392;-79.73372;5.137016;
1.3050048;3.702423;-79.618835;5.7007513;
1.3101319;3.7564087;-79.49113;6.3216853;
1.3151063;3.7983704;-79.356285;6.9576225;
1.3201417;3.8496704;-79.20829;7.628807;
1.3251771;3.9024658;-79.047;8.316757;
1.3302735;3.9533691;-78.87002;9.019329;
1.3352479;3.9739075;-78.68073;9.703828;
1.3402833;3.9791565;-78.468605;10.38875;
1.3453187;3.9381104;-78.2312;11.0629425;
1.3504151;3.8458557;-77.96097;11.732914;
1.3553894;3.684906;-77.667274;12.378676;
1.3604248;3.4849243;-77.33987;13.028871;
1.3654603;3.2408752;-76.98213;13.68171;
1.3705566;2.9558105;-76.5887;14.352791;
1.3755311;2.6357422;-76.173164;15.021071;
1.3805665;2.3012085;-75.72302;15.715807;
1.3856019;1.9439697;-75.24217;16.429869;
1.3906983;1.550354;-74.71671;17.189894;
1.3956727;1.1272583;-74.17046;17.96675;
1.4007385;0.6990051;-73.59003;18.779137;
1.405713;0.26660156;-73.00257;19.592762;
1.4108399;359.80463;-72.38357;20.444592;
1.4158143;359.35315;-71.787346;21.28037;
1.4208497;358.93652;-71.18033;22.131239;
1.425885;358.50977;-70.56908;22.981098;
1.4309815;358.0568;-69.94506;23.833933;
1.4359558;357.5625;-69.33133;24.654802;
1.4409913;357.04703;-68.70646;25.466404;
1.4460267;356.4942;-68.07998;26.25014;
1.451123;355.89746;-67.44803;27.007908;
1.4560975;355.26782;-66.8355;27.703905;
1.4611329;354.62296;-66.221146;28.360508;
1.4661683;353.95474;-65.614815;28.96457;
1.4712647;353.26276;-65.008316;29.517052;
1.4762391;352.55237;-64.41975;29.995949;
1.4812745;351.83353;-63.822872;30.420849;
1.4863099;351.09662;-63.221653;30.786255;
1.4914063;350.3343;-62.610497;31.100052;
1.4963807;349.56262;-62.010704;31.35495;
1.5014466;348.7878;-61.399143;31.569113;
1.506421;348.02454;-60.799625;31.739311;
1.5115478;347.23022;-60.18292;31.880312;
1.5165222;346.44656;-59.589443;31.986969;
1.5215577;345.66452;-58.994488;32.069733;
1.5265931;344.8827;-58.411358;32.130554;
1.5316895;344.0923;-57.835167;32.17358;
1.5366639;343.31647;-57.286865;32.199276;
1.5416993;342.5471;-56.749268;32.213013;
1.5467347;341.78674;-56.22825;32.21477;
1.5518311;341.02673;-55.716095;32.20555;
1.5568055;340.29626;-55.22973;32.18367;
1.5618409;339.58508;-54.75027;32.14579;
1.5668458;338.90878;-54.28558;32.087696;
1.5719727;338.24786;-53.821823;32.005238;
1.576947;337.64594;-53.386585;31.900162;
1.5819824;337.0827;-52.965946;31.771881;
1.5870178;336.5718;-52.571793;31.623247;
1.5921142;336.11145;-52.21116;31.457958;
1.5970887;335.7298;-51.906624;31.285807;
1.6021546;335.40503;-51.652493;31.10787;
1.6071289;335.15515;-51.465454;30.935251;
1.6122559;334.96356;-51.342506;30.766924;
1.6172303;334.8459;-51.291172;30.615215;
1.6222657;334.78473;-51.310127;30.47876;
1.6273011;334.77704;-51.398922;30.3613;
1.6323975;334.82562;-51.55948;30.26071;
1.6373719;334.93854;-51.78565;30.176075;
1.6424073;335.11142;-52.085384;30.100143;
1.6474427;335.3524;-52.454674;30.030905;
1.6525391;335.66925;-52.898342;29.967571;
1.6575134;336.06354;-53.397697;29.91229;
1.6625488;336.53735;-53.967773;29.864466;
1.6675842;337.0976;-54.599754;29.824;
1.6726806;337.74948;-55.29462;29.790056;
1.6776551;338.4807;-56.020695;29.761627;
1.6826905;339.29587;-56.797115;29.73728;
1.6877259;340.19553;-57.60759;29.713621;
1.6928223;341.19113;-58.455036;29.688887;
1.6977967;342.2493;-59.299988;29.663185;
1.7028625;343.38776;-60.169266;29.637632;
1.707837;344.57153;-61.024822;29.610481;
1.7129639;345.84042;-61.90558;29.584187;
1.7179383;347.1318;-62.760242;29.558344;
1.7229737;348.48022;-63.6283;29.537462;
1.728009;349.88663;-64.504395;29.521551;
1.7331055;351.37003;-65.40408;29.513939;
1.7380798;352.88986;-66.29751;29.511013;
1.7431152;354.48416;-67.22063;29.509743;
1.7481507;356.11932;-68.1657;29.507362;
1.753247;357.80536;-69.15;29.503542;
1.7582215;359.48093;-70.158356;29.500105;
1.7632569;1.2182312;-71.21784;29.493053;
1.7682617;2.9971313;-72.32502;29.47492;
1.7733887;4.8658752;-73.5099;29.430399;
1.7783631;6.704315;-74.70097;29.3441;
1.7833985;8.566406;-75.925255;29.20388;
1.7884339;10.38028;-77.14008;29.004915;
1.7935303;12.115814;-78.322655;28.742872;
1.7985047;13.671051;-79.40406;28.42468;
1.8035706;15.116943;-80.4185;28.027859;
1.808545;16.407745;-81.33214;27.54814;
1.8136718;17.621704;-82.18871;26.94973;
1.8186462;18.694946;-82.95146;26.26242;
1.8236817;19.704681;-83.65353;25.463379;
1.8287171;20.631897;-84.28006;24.571169;
1.8338134;21.473846;-84.838585;23.59303;
1.8387879;22.176819;-85.31836;22.591183;
1.8438233;22.767242;-85.73491;21.563663;
1.8488281;23.24469;-86.07957;20.555208;
1.8539551;23.625793;-86.367325;19.563549;
1.8589295;23.927704;-86.58963;18.651909;
1.8639649;24.184113;-86.77038;17.78599;
1.8690003;24.438019;-86.906944;16.974936;
1.8742433;24.720428;-86.99925;16.219732;
1.8792176;25.013977;-87.06638;15.555787;
1.884253;25.299377;-87.12675;14.960909;
1.8892885;25.596832;-87.18729;14.429101;
1.8943849;25.929993;-87.25054;13.938083;
1.8993593;26.309906;-87.309685;13.488853;
1.9044251;26.73639;-87.36319;13.054556;
1.9093995;27.202179;-87.40876;12.652182;
1.9145266;27.731232;-87.45285;12.265177;
1.9195008;28.295013;-87.49846;11.9199915;
1.9245362;28.886139;-87.546394;11.602884;
1.9295716;29.47879;-87.5799;11.31827;
1.9346681;30.052917;-87.57959;11.063429;
1.9396424;30.569855;-87.53821;10.850318;
1.9446778;31.03003;-87.45808;10.672455;
1.9497132;31.437317;-87.34653;10.53882;
1.9548097;31.792603;-87.20867;10.45525;
1.959784;32.080597;-87.04996;10.431791;
1.9648196;32.304565;-86.86599;10.468079;
1.969855;32.459717;-86.65782;10.565408;
1.9749513;32.55005;-86.420296;10.722012;
1.9799258;32.57187;-86.16405;10.929898;
1.9849612;32.541138;-85.88163;11.189216;
1.9899964;32.473907;-85.57834;11.495679;
1.995093;32.384735;-85.25525;11.853547;
2.0000672;32.289734;-84.92551;12.253102;
2.0051637;32.19507;-84.576385;12.713769;
2.010138;32.113007;-84.226654;13.214114;
2.0152345;32.048035;-83.86253;13.776433;
2.0202088;32.004242;-83.5028;14.37123;
2.0252442;31.987335;-83.139725;15.012611;
2.0302796;31.990509;-82.78136;15.688445;
2.035376;32.016693;-82.42621;16.399027;
2.0403504;32.048035;-82.08769;17.117188;
2.0453858;32.096985;-81.75764;17.861794;
2.0504212;32.1481;-81.44043;18.622913;
2.0555177;32.1976;-81.133995;19.404192;
2.060492;32.22293;-80.848564;20.175804;
2.0655274;32.2406;-80.57319;20.96308;
2.0705323;32.22769;-80.31461;21.752436;
2.0756593;32.185608;-80.06417;22.567411;
2.0806336;32.092834;-79.83577;23.369144;
2.085669;31.988495;-79.61392;24.185734;
2.0907044;31.854248;-79.407646;25.006165;
2.0958009;31.690125;-79.224045;25.837835;
2.1007752;31.475037;-79.08124;26.656998;
2.1058412;31.236969;-78.98599;27.506989;
2.1108155;30.96518;-78.95587;28.37928;
2.1159425;30.703033;-79.02162;29.32053;
2.1209168;30.534698;-79.19199;30.266554;
2.1259522;30.526703;-79.41393;31.266554;
2.1309876;30.544067;-79.60784;32.356037;
2.136084;30.394257;-79.65206;33.665802;
2.1410584;30.072449;-79.56289;35.09527;
2.1460938;29.579895;-79.35179;36.680996;
2.1511292;28.813293;-78.95688;38.435947;
2.1562257;27.815002;-78.40409;40.25625;
2.1612;26.54892;-77.695984;42.0228;
2.1662357;24.990723;-76.79086;43.750595;
2.1712708;23.127289;-75.67555;45.373756;
2.1763673;20.945984;-74.33097;46.87542;
2.1813416;18.541046;-72.81701;48.17853;
2.186377;15.939301;-71.0952;49.308613;
2.1914124;13.182373;-69.18831;50.230953;
2.196509;10.268768;-67.08857;50.94189;
2.2014832;7.3201294;-64.91297;51.4157;
2.2065492;4.3062744;-62.614017;51.67617;
2.2115235;1.3495483;-60.329967;51.726505;
2.2166505;358.33383;-57.99677;51.58818;
2.2216249;355.4674;-55.80839;51.29231;
2.2266603;352.677;-53.70866;50.856487;
2.2316957;350.00443;-51.755657;50.306057;
2.236792;347.43265;-49.949673;49.655388;
2.2417667;345.06204;-48.365128;48.946087;
2.2468019;342.80875;-46.935696;48.167652;
2.2518375;340.69736;-45.670868;47.3381;
2.256934;338.70242;-44.54434;46.454597;
2.261908;336.89966;-43.58151;45.556408;
2.2669435;335.19928;-42.724777;44.619576;
2.2719789;333.65198;-41.97406;43.65807;
2.2770753;332.20102;-41.296738;42.677406;
2.2820497;330.90952;-40.701164;41.722393;
2.287085;329.6832;-40.145947;40.772404;
2.2921205;328.5444;-39.627945;39.85142;
2.297217;327.47336;-39.133514;38.961647;
2.3021913;326.5282;-38.683445;38.14924;
2.3072572;325.6134;-38.25932;37.39105;
2.3122315;324.792;-37.886696;36.7163;
2.3173585;324.01495;-37.56045;36.099476;
2.3223329;323.36087;-37.31519;35.57568;
2.3273685;322.74658;-37.151684;35.122845;
2.3323731;322.20972;-37.081642;34.743862;
2.3375;321.73276;-37.112522;34.425056;
2.3424745;321.3729;-37.24587;34.175804;
2.3475099;321.05838;-37.483376;33.980766;
2.3525453;320.81918;-37.81594;33.8329;
2.3576417;320.6402;-38.23522;33.721252;
2.362616;320.55292;-38.716152;33.636665;
2.3676515;320.49857;-39.262527;33.56852;
2.3726869;320.49704;-39.85879;33.51074;
2.3777833;320.54306;-40.503353;33.45482;
2.3827577;320.66754;-41.17008;33.39417;
2.387793;320.82727;-41.877285;33.323513;
2.3928287;321.04288;-42.615265;33.245102;
2.397925;321.31653;-43.38788;33.1565;
2.4028995;321.65805;-44.161785;33.057766;
2.4079652;322.0362;-44.96768;32.946465;
2.4129395;322.4614;-45.777397;32.827885;
2.4180665;322.9482;-46.62977;32.696312;
2.4230409;323.50244;-47.478405;32.55696;
2.4280763;324.10367;-48.36345;32.40825;
2.4331117;324.76846;-49.279285;32.252857;
2.438208;325.50284;-50.24462;32.093304;
2.4431825;326.32254;-51.23641;31.938532;
2.4482179;327.2294;-52.308105;31.797312;
2.4532533;328.27258;-53.47058;31.681171;
2.4583497;329.51172;-54.74759;31.582747;
2.463324;330.93875;-56.069145;31.477896;
2.4683597;332.526;-57.427914;31.336136;
2.4733949;334.22604;-58.751324;31.1475;
2.4784913;336.00818;-60.026413;30.921097;
2.4834657;337.8016;-61.220444;30.680223;
2.488501;339.61627;-62.398438;30.436703;
2.4935365;341.48508;-63.58215;30.210318;
2.498633;343.47238;-64.83777;30.0203;
2.5036073;345.57617;-66.173515;29.879766;
2.5086732;347.88623;-67.67262;29.76848;
2.5136476;350.34503;-69.27544;29.64967;
