unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0;-0.017136;-0.046265;0.017746;
0.005096436;-0.008591;-0.046265;0.011337;
0.010070801;-0.000046;-0.047333;0.007065;
0.015136719;0.007431;-0.044128;0.004929;
0.020111084;0.014908;-0.036652;-0.000412;
0.025238035;0.023453;-0.029175;-0.005753;
0.0302124;0.027725;-0.016357;-0.008957;
0.035247803;0.029861;-0.007812;-0.014297;
0.040283203;0.030930;-0.001404;-0.019638;
0.04537964;0.030930;0.003937;-0.024979;
0.050354004;0.029861;0.008209;-0.029251;
0.0553894;0.024521;0.009277;-0.033524;
0.0604248;0.022385;0.011414;-0.037796;
0.06552124;0.018112;0.017822;-0.039932;
0.070495605;0.015976;0.022095;-0.045273;
0.075531006;0.018112;0.024231;-0.049545;
0.080566406;0.015976;0.027435;-0.051682;
0.085662834;0.015976;0.027435;-0.051682;
0.09063721;0.015976;0.030640;-0.050613;
0.09567261;0.020248;0.033844;-0.051682;
0.10070801;0.024521;0.035980;-0.048477;
0.105804436;0.027725;0.039185;-0.046341;
0.1107788;0.025589;0.041321;-0.043137;
0.115875244;0.028793;0.047729;-0.042068;
0.1208496;0.029861;0.047729;-0.038864;
0.12594604;0.028793;0.050934;-0.035660;
0.13092041;0.027725;0.050934;-0.029251;
0.13595581;0.029861;0.055206;-0.023911;
0.14099121;0.027725;0.057343;-0.016434;
0.14608765;0.027725;0.063751;-0.008957;
0.15106201;0.024521;0.069092;-0.004684;
0.1560974;0.024521;0.074432;0.000656;
0.16110228;0.021317;0.074432;0.009201;
0.16622925;0.021317;0.066956;0.015610;
0.17120361;0.019180;0.065887;0.020950;
0.176239;0.017044;0.060547;0.028427;
0.18127441;0.017044;0.052002;0.029495;
0.18637085;0.020248;0.046661;0.030563;
0.19134521;0.024521;0.042389;0.031631;
0.1963806;0.025589;0.037048;0.027359;
0.20142828;0.027725;0.032776;0.027359;
0.20652471;0.026657;0.026367;0.028427;
0.21149908;0.027725;0.015686;0.026291;
0.216565;0.030930;0.005005;0.023087;
0.22153936;0.031998;-0.006744;0.019882;
0.22666632;0.031998;-0.017426;0.022018;
0.23164068;0.031998;-0.029175;0.024155;
0.23667608;0.034134;-0.038788;0.026291;
0.24171148;0.034134;-0.043060;0.030563;
0.24680793;0.038406;-0.049469;0.034836;
0.25178227;0.043747;-0.048401;0.039108;
0.2568177;0.046951;-0.052673;0.044449;
0.26185307;0.044815;-0.058014;0.049789;
0.26694953;0.043747;-0.061218;0.051926;
0.2719239;0.040543;-0.065491;0.052994;
0.2769593;0.033066;-0.068695;0.052994;
0.28199467;0.026657;-0.072968;0.051926;
0.28709114;0.021317;-0.066559;0.050858;
0.2920655;0.021317;-0.054810;0.051926;
0.2971009;0.023453;-0.048401;0.054062;
0.30213627;0.024521;-0.043060;0.054062;
0.30723274;0.024521;-0.038788;0.055130;
0.3122071;0.022385;-0.031311;0.057266;
0.31727302;0.020248;-0.022766;0.059402;
0.3222474;0.024521;-0.014221;0.060471;
0.32737434;0.027725;-0.008881;0.056198;
0.3323487;0.029861;-0.006744;0.055130;
0.33738407;0.026657;-0.007812;0.049789;
0.34241948;0.022385;-0.013153;0.043381;
0.34751594;0.024521;-0.024902;0.036972;
0.3524903;0.027725;-0.028107;0.029495;
0.35752568;0.030930;-0.031311;0.020950;
0.36256108;0.031998;-0.038788;0.013474;
0.3676575;0.031998;-0.043060;0.016678;
0.3726319;0.033066;-0.048401;0.017746;
0.37766728;0.034134;-0.052673;0.018814;
0.3826722;0.033066;-0.052673;0.024155;
0.3877991;0.031998;-0.055878;0.030563;
0.39277348;0.029861;-0.055878;0.033768;
0.39780888;0.029861;-0.056946;0.036972;
0.4028138;0.029861;-0.053741;0.031631;
0.40794072;0.027725;-0.049469;0.029495;
0.41291508;0.026657;-0.046265;0.029495;
0.417981;0.025589;-0.043060;0.028427;
0.4229554;0.025589;-0.043060;0.027359;
0.42808232;0.027725;-0.035583;0.027359;
0.43305668;0.026657;-0.033447;0.023087;
0.43809208;0.026657;-0.024902;0.017746;
0.4431275;0.025589;-0.019562;0.016678;
0.44822392;0.024521;-0.017426;0.013474;
0.45319828;0.020248;-0.016357;0.015610;
0.45823368;0.012772;-0.013153;0.016678;
0.4632691;0.010635;-0.013153;0.012405;
0.46836552;0.008499;-0.008881;0.013474;
0.4733399;0.005295;-0.002472;0.012405;
0.4783753;0.005295;0.007141;0.011337;
0.48341072;0.005295;0.010345;0.012405;
0.48850712;0.004227;0.017822;0.009201;
0.4934815;0.004227;0.021027;0.011337;
0.49851692;0.005295;0.029572;0.011337;
0.5035523;0.006363;0.034912;0.012405;
0.5086487;0.005295;0.038116;0.013474;
0.5136231;0.008499;0.035980;0.013474;
0.51868904;0.006363;0.032776;0.012405;
0.5236634;0.006363;0.032776;0.012405;
0.5287903;0.007431;0.030640;0.009201;
0.53376466;0.005295;0.032776;0.004929;
0.5388001;0.007431;0.030640;0.000656;
0.5438355;0.008499;0.031708;-0.000412;
0.54893196;0.010635;0.027435;-0.000412;
0.55390626;0.008499;0.025299;-0.001480;
0.55894166;0.006363;0.022095;-0.002548;
0.56397706;0.004227;0.021027;-0.002548;
0.5690735;0.003159;0.018890;-0.000412;
0.5740479;0.004227;0.019958;-0.000412;
0.5790833;0.001022;0.021027;0.004929;
0.5841187;0.002090;0.019958;0.005997;
0.58921516;0.004227;0.022095;0.007065;
0.59418947;0.006363;0.026367;0.007065;
0.59922487;0.008499;0.029572;0.003860;
0.6042603;0.008499;0.030640;0.001724;
0.6093567;0.007431;0.035980;0.001724;
0.6143311;0.008499;0.038116;-0.000412;
0.61939704;0.007431;0.040253;0.000656;
0.62437135;0.010635;0.035980;-0.000412;
0.62949836;0.012772;0.031708;0.000656;
0.63447267;0.017044;0.027435;0.000656;
0.63950807;0.021317;0.024231;0.002792;
0.644513;0.023453;0.021027;0.001724;
0.6496399;0.024521;0.019958;0.002792;
0.6546143;0.025589;0.017822;0.007065;
0.6596497;0.026657;0.013550;0.009201;
